epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
97,1374.18,0.45528,0.45609,0.331,0.99269,0.99461,1,0.995,0.81957,0.99461,1,0.995,0.92045,0.73418,0.2322,0.43854,0.90955,0.0010496,0.0010496,0.0010496
98,1387.84,0.44956,0.429,0.31229,0.9919,0.99748,1,0.995,0.85635,0.99748,1,0.995,0.9186,0.60315,0.23529,0.63981,0.81571,0.0010397,0.0010397,0.0010397
99,1401.4,0.43174,0.43009,0.30089,0.96887,0.99762,1,0.995,0.87064,0.99762,1,0.995,0.94632,0.68714,0.23621,0.53421,0.73762,0.0010298,0.0010298,0.0010298
100,1415.85,0.44488,0.45683,0.29831,0.9898,0.99757,1,0.995,0.88529,0.99757,1,0.995,0.94325,0.54495,0.23197,0.3788,0.76985,0.0010199,0.0010199,0.0010199
101,1430.38,0.42869,0.40903,0.31416,0.97938,0.99765,1,0.995,0.92565,0.99765,1,0.995,0.94652,0.50126,0.23037,0.33633,0.78298,0.00101,0.00101,0.00101
102,1445.15,0.41846,0.41966,0.30615,0.97753,0.99751,1,0.995,0.90761,0.99751,1,0.995,0.92298,0.53055,0.24239,0.47258,0.81754,0.0010001,0.0010001,0.0010001
103,1459.91,0.41292,0.42082,0.29995,0.98691,0.99745,1,0.995,0.87826,0.99745,1,0.995,0.95175,0.59293,0.23186,0.42863,0.78409,0.0009902,0.0009902,0.0009902
104,1474.75,0.3951,0.43696,0.28732,0.97578,0.99738,1,0.995,0.85718,0.99738,1,0.995,0.94737,0.73405,0.24055,0.69475,0.9658,0.0009803,0.0009803,0.0009803
105,1488.96,0.41086,0.4191,0.29154,0.9684,0.99753,1,0.995,0.86856,0.99753,1,0.995,0.96943,0.5355,0.22945,0.40484,0.73085,0.0009704,0.0009704,0.0009704
106,1502.7,0.41875,0.41033,0.2989,0.98271,0.99759,1,0.995,0.83922,0.99759,1,0.995,0.91924,0.68996,0.23689,0.39781,0.86483,0.0009605,0.0009605,0.0009605
107,1516.36,0.39231,0.40331,0.28579,0.9604,0.99756,1,0.995,0.88344,0.99756,1,0.995,0.93308,0.60752,0.22877,0.37922,0.80772,0.0009506,0.0009506,0.0009506
108,1530.08,0.41203,0.449,0.29659,0.96419,0.99763,1,0.995,0.87476,0.99763,1,0.995,0.95128,0.57498,0.23438,0.40642,0.77916,0.0009407,0.0009407,0.0009407
109,1543.86,0.42475,0.41455,0.30192,0.97865,0.99752,1,0.995,0.88472,0.99752,1,0.995,0.92732,0.54622,0.24307,0.353,0.74632,0.0009308,0.0009308,0.0009308
110,1557.59,0.41786,0.40331,0.29674,0.97382,0.99742,1,0.995,0.90199,0.99742,1,0.995,0.95564,0.57037,0.24536,0.40236,0.76627,0.0009209,0.0009209,0.0009209
111,1571.27,0.41819,0.4123,0.29382,0.97369,0.99761,1,0.995,0.90495,0.99761,1,0.995,0.93151,0.52087,0.23277,0.3386,0.76571,0.000911,0.000911,0.000911
112,1585.19,0.39867,0.39686,0.28208,0.96879,0.99773,1,0.995,0.90005,0.99773,1,0.995,0.94733,0.60337,0.22842,0.34923,0.79598,0.0009011,0.0009011,0.0009011
113,1598.9,0.41176,0.39303,0.28845,0.97944,0.99764,1,0.995,0.91778,0.99764,1,0.995,0.94149,0.52587,0.23323,0.37923,0.74705,0.0008912,0.0008912,0.0008912
114,1612.67,0.40026,0.40552,0.27952,0.95468,0.99757,1,0.995,0.89329,0.99757,1,0.995,0.95834,0.5796,0.233,0.39464,0.77027,0.0008813,0.0008813,0.0008813
115,1626.46,0.40479,0.41164,0.2912,0.95822,0.99765,1,0.995,0.90153,0.99765,1,0.995,0.932,0.58227,0.24101,0.43561,0.77806,0.0008714,0.0008714,0.0008714
116,1640.17,0.37202,0.37762,0.26202,0.94053,0.9957,1,0.995,0.85833,0.9957,1,0.995,0.9544,0.6922,0.23895,0.43555,0.82216,0.0008615,0.0008615,0.0008615
117,1653.89,0.38775,0.39244,0.27309,0.94867,0.99773,1,0.995,0.85528,0.99773,1,0.995,0.94333,0.55582,0.23598,0.39593,0.78275,0.0008516,0.0008516,0.0008516
118,1667.49,0.39987,0.41728,0.28183,0.96208,0.99733,1,0.995,0.86931,0.99733,1,0.995,0.95608,0.63094,0.22762,0.35098,0.80356,0.0008417,0.0008417,0.0008417
119,1681.09,0.40341,0.42613,0.2858,0.96593,0.99564,1,0.995,0.92218,0.99564,1,0.995,0.92179,0.51205,0.23197,0.34027,0.73922,0.0008318,0.0008318,0.0008318
120,1694.68,0.38235,0.4351,0.26934,0.93959,0.99771,1,0.995,0.89173,0.99771,1,0.995,0.92431,0.58723,0.23483,0.38669,0.73626,0.0008219,0.0008219,0.0008219
121,1708.33,0.37633,0.40284,0.27041,0.95806,0.99777,1,0.995,0.90835,0.99777,1,0.995,0.9527,0.4845,0.23266,0.32889,0.68322,0.000812,0.000812,0.000812
122,1721.97,0.39933,0.45399,0.29959,0.9671,0.99776,1,0.995,0.92536,0.99776,1,0.995,0.96377,0.48793,0.22705,0.31232,0.706,0.0008021,0.0008021,0.0008021
123,1735.88,0.38933,0.40981,0.30283,0.95422,0.99768,1,0.995,0.91858,0.99768,1,0.995,0.94641,0.49759,0.23037,0.33337,0.72506,0.0007922,0.0007922,0.0007922
124,1749.8,0.39716,0.43358,0.29363,0.95856,0.99776,1,0.995,0.8771,0.99776,1,0.995,0.93004,0.62952,0.23712,0.37381,0.82067,0.0007823,0.0007823,0.0007823
125,1763.61,0.39719,0.45206,0.2815,0.94806,0.9976,1,0.995,0.88316,0.9976,1,0.995,0.95844,0.54162,0.229,0.37066,0.70908,0.0007724,0.0007724,0.0007724
126,1777.26,0.37936,0.38636,0.27708,0.93457,0.99773,1,0.995,0.92024,0.99773,1,0.995,0.9613,0.5135,0.24147,0.34909,0.70826,0.0007625,0.0007625,0.0007625
127,1790.9,0.35916,0.38611,0.24938,0.93457,0.99766,1,0.995,0.93265,0.99766,1,0.995,0.91959,0.50247,0.24239,0.29807,0.73204,0.0007526,0.0007526,0.0007526
128,1804.65,0.39278,0.41713,0.28094,0.94598,0.99779,1,0.995,0.91765,0.99779,1,0.995,0.95634,0.50569,0.22888,0.30507,0.69535,0.0007427,0.0007427,0.0007427
129,1818.37,0.36982,0.39105,0.25529,0.94675,0.99777,1,0.995,0.88602,0.99777,1,0.995,0.93423,0.61638,0.22602,0.37013,0.78863,0.0007328,0.0007328,0.0007328
130,1831.93,0.35678,0.38736,0.2567,0.93488,0.99768,1,0.995,0.9181,0.99768,1,0.995,0.9038,0.46123,0.23129,0.33177,0.72888,0.0007229,0.0007229,0.0007229
131,1845.82,0.38225,0.45749,0.27443,0.9395,0.99764,1,0.995,0.92723,0.99764,1,0.995,0.92895,0.49474,0.22808,0.31655,0.72445,0.000713,0.000713,0.000713
132,1859.55,0.39413,0.43457,0.27764,0.94478,0.99752,1,0.995,0.89206,0.99752,1,0.995,0.97117,0.55171,0.2235,0.37528,0.75927,0.0007031,0.0007031,0.0007031
133,1873.25,0.41485,0.44235,0.2923,0.96084,0.99644,1,0.995,0.91703,0.99644,1,0.995,0.9612,0.53141,0.23174,0.3827,0.74456,0.0006932,0.0006932,0.0006932
134,1887.05,0.38467,0.37281,0.2666,0.95028,0.99764,1,0.995,0.90345,0.99764,1,0.995,0.92887,0.55886,0.22591,0.33879,0.77033,0.0006833,0.0006833,0.0006833
